['Nation Name', 'Category', 'Number of Issues Answered', 'Region Name', 'Flag', 'Percentage Government Expenditure: Administration', 'Percentage Government Expenditure: Defence', 'Percentage Government Expenditure: Education', 'Percentage Government Expenditure: Environment', 'Percentage Government Expenditure: Healthcare', 'Percentage Government Expenditure: Commerce', 'Percentage Government Expenditure: International Aid', 'Percentage Government Expenditure: Law and Order', 'Percentage Government Expenditure: Public Transport', 'Percentage Government Expenditure: Social Equality', 'Percentage Government Expenditure: Spirituality', 'Percentage Government Expenditure: Welfare', 'Percentage Market Sector: Black Market', 'Percentage Market Sector: Government', 'Percentage Market Sector: Industry', 'Percentage Market Sector: Public', 'Percentage Death Type: Accident', 'Percentage Death Type: Acts of God', 'Percentage Death Type: Animal Attack', 'Percentage Death Type: Bungee Jumping', 'Percentage Death Type: Capital Punishment', 'Percentage Death Type: Cancer', 'Percentage Death Type: Disappearance', 'Percentage Death Type: Exposure', 'Percentage Death Type: Heart Disease', 'Percentage Death Type: Involuntary Euthanasia', 'Percentage Death Type: Lost in Wilderness', 'Percentage Death Type: Malnourishment', 'Percentage Death Type: Murder', 'Percentage Death Type: Nuclear Spill', 'Percentage Death Type: Old Age', 'Percentage Death Type: Ritual Sacrifice', 'Percentage Death Type: Scurvy', 'Percentage Death Type: Space Shuttle Mishap', 'Percentage Death Type: Suicide While in Police Custody', 'Percentage Death Type: Sunburn', 'Percentage Death Type: Vat Leakage', 'Percentage Death Type: War', 'Percentage Death Type: Work', 'civil rights', 'civil rights rank', 'economy', 'economy rank', 'political freedoms', 'political freedoms rank', 'population', 'population rank', 'wealth gaps', 'wealth gaps rank', 'death rate', 'death rate rank', 'compassion', 'compassion rank', 'eco-friendliness', 'eco-friendliness rank', 'social conservatism', 'social conservatism rank', 'nudity', 'nudity rank', 'industry: automobile manufacturing', 'industry: automobile manufacturing rank', 'industry: cheese exports', 'industry: cheese exports rank', 'industry: basket weaving', 'industry: basket weaving rank', 'industry: informtion technology', 'industry: informtion technology rank', 'industry: pizza delivery', 'industry: pizza delivery rank', 'industry: trout fishing', 'industry: trout fishing rank', 'industry: arms manufacturing', 'industry: arms manufacturing rank', 'sector: agriculture', 'sector: agriculture rank', 'industry: beverage sales', 'industry: beverage sales rank', 'industry: timber woodchipping', 'industry: timber woodchipping rank', 'industry: mining', 'industry: mining rank', 'industry: insurance', 'industry: insurance rank', 'industry: furniture restoration', 'industry: furniture restoration rank', 'industry: retail', 'industry: retail rank', 'industry: book publishing', 'industry: book publishing rank', 'industry: gambling', 'industry: gambling rank', 'sector: manufacturing', 'sector: manufacturing rank', 'government size', 'government size rank', 'welfare', 'welfare rank', 'public healthcare', 'public healthcare rank', 'law enforcement', 'law enforcement rank', 'business subsidization', 'business subsidization rank', 'religiousness', 'religiousness rank', 'income equality', 'income equality rank', 'niceness', 'niceness rank', 'rudeness', 'rudeness rank', 'intelligence', 'intelligence rank', 'ignorance', 'ignorance rank', 'political apathy', 'political apathy rank', 'health', 'health rank', 'cheerfulness', 'cheerfulness rank', 'weather', 'weather rank', 'compliance', 'compliance rank', 'safety', 'safety rank', 'lifespan', 'lifespan rank', 'ideological radicality', 'ideological radicality rank', 'defense forces', 'defense forces rank', 'pacifism', 'pacifism rank', 'economic freedom', 'economic freedom rank', 'taxation', 'taxation rank', 'freedom from taxation', 'freedom from taxation rank', 'corruption', 'corruption rank', 'integrity', 'integrity rank', 'authoritarianism', 'authoritarianism rank', 'youth rebelliousness', 'youth rebelliousness rank', 'culture', 'culture rank', 'employment', 'employment rank', 'public transport', 'public transport rank', 'tourism', 'tourism rank', 'weaponization', 'weaponization rank', 'recreational drug use', 'recreational drug use rank', 'obesity', 'obesity rank', 'secularism', 'secularism rank', 'environmental beauty', 'environmental beauty rank', 'charmlessness', 'charmlessness rank', 'influence', 'influence rank', 'world assembly endorsements', 'world assembly endorsements rank', 'averageness', 'averageness rank', 'human development index', 'human development index rank', 'primitiveness', 'primitiveness rank', 'scientific advancement', 'scientific advancement rank', 'inclusiveness', 'inclusiveness rank', 'average income', 'average income rank', 'average income of poor', 'average income of poor rank', 'average income of rich', 'average income of rich rank', 'public education', 'public education rank', 'economic output', 'economic output rank', 'crime', 'crime rank', 'foreign aid', 'foreign aid rank', 'black market', 'black market rank', 'residency', 'residency rank', 'survivors', 'survivors rank', 'zombies', 'zombies rank', 'dead', 'dead rank', 'percentage zombies', 'percentage zombies rank', 'average disposable income', 'average disposable income rank', 'deck value', 'deck value rank', 'patriotism', 'patriotism rank', 'food quality', 'food quality rank', 'hdi-economy', 'hdi-smart', 'hdi-health', 'hdi-precise', 'Null']
['Null', 'ananke', 'Left-wing Utopia', '0', 'The North Pacific', 'https://www.nationstates.net/images/flags/denmark--61.jpg', 0.0, 0.0, 30.2, 26.4, 4.8, 3.1, 0.0, 0.0, 2.7, 20.2, 0.0, 12.6, 0.05, 54.29, 31.62, 14.04, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.5, 0.0, 0.0, 0.0, 91.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 75.08, 39892.0, 74.83, 80683.0, 73.56, 57460.0, 38984000000.0, 390.0, 1.53, 200192.0, 23.93, 207416.0, 76.2, 5604.0, 12751.95, 2015.0, 28.38, 194500.0, 152.0, 85588.0, -11.83, 223092.0, -4.0, 176217.0, -7.21, 210617.0, 1480.02, 139320.0, -9.81, 213563.0, 8034.39, 10822.0, -20.4, 230930.0, -14.75, 229716.0, -11.14, 218258.0, -6.32, 191386.0, -20.74, 230233.0, -3.61, 162005.0, -6.32, 198226.0, -7.55, 195290.0, 31159.69, 1335.0, -9.47, 214214.0, 0.0, 218763.0, 27.06, 18460.0, 6078.65, 6367.0, 2312.53, 48979.0, -22.14, 233442.0, 1519.66, 72560.0, 16.56, 154738.0, 65.54, 33861.0, 46.9, 4201.0, 8.74, 230597.0, 94.58, 9306.0, 0.82, 224903.0, 75.12, 750.0, 5.66, 44254.0, 69.37, 1729.0, 427.0, 2437.0, 70.56, 45504.0, 52.84, 157901.0, 87.27, 26968.0, 24.46, 62784.0, -30.82, 233674.0, 153.77, 4773.0, 19.25, 183340.0, 80.91, 14565.0, -123.58, 219653.0, 2.48, 143638.0, 93.32, 90511.0, 530.18, 154377.0, 37.0, 2802.0, 57.0, 218009.0, 42.66, 228257.0, 1321.45, 44657.0, 1274.07, 14759.0, 0.18, 203591.0, 14.4, 216141.0, 6.57, 217099.0, 18.09, 79483.0, 2621.98, 3640.0, 0.78, 219552.0, 4015.0, 11917.0, 0.0, 15671.0, 30.54, 171597.0, 72.93, 34028.0, -117.17, 193244.0, 109.84, 49715.0, 138.5, 20944.0, 89039.03, 41949.0, 71209.07, 21998.0, 108650.0, 111332.0, 14601.98, 4923.0, 3471097000000000.0, 3924.0, 2.28, 188056.0, -5.48, 181047.0, 1778500000000.0, 63114.0, 4097.7057108, 846.0, 37595000000.0, 63.0, 0.0, 195376.0, 64000000.0, 166163.0, 0.0, 195356.0, 17006.45, 192250.0, 16.21, 17141.0, 0.3, 233960.0, 62.28, 27820.0, 48.0, 83.5186515241887, 87.2735919950493, 72.930747839746, 'Null']
['Null', 'zemnaya_svoboda', 'Civil Rights Lovefest', '77', 'The North Pacific', 'https://www.nationstates.net/images/flags/uploads/zemnaya_svoboda__338605.png', 0.0, 24.5, 23.8, 18.2, 11.0, 3.8, 0.0, 14.4, 4.2, 0.0, 0.0, 0.0, 0.15, 37.19, 45.18, 17.47, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.8, 0.0, 0.0, 0.0, 90.5, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.5, 0.0, 75.14, 39738.0, 98.17, 21053.0, 76.86, 41802.0, 32688000000.0, 1834.0, 1.56, 198004.0, 21.72, 218675.0, 16.24, 214982.0, 7264.63, 7406.0, 28.29, 194677.0, 180.0, 53712.0, -22.14, 231474.0, -8.94, 222034.0, -13.75, 232728.0, 18528.41, 17455.0, -6.03, 183483.0, -10.2, 225225.0, 11594.64, 26506.0, 4675.26, 35812.0, -15.59, 228789.0, -17.89, 230153.0, 1438.54, 120845.0, -8.37, 204957.0, -15.49, 233140.0, -9.9, 212493.0, 15559.26, 6143.0, 6185.86, 25936.0, 11594.64, 55136.0, 23.54, 26274.0, -10.0, 224267.0, 4387.55, 21562.0, 5754.16, 17222.0, 1510.47, 72839.0, 12.4, 165920.0, 64.04, 36257.0, 0.6, 217309.0, 59.58, 71847.0, 105.03, 7429.0, 0.76, 226866.0, 53.9, 25975.0, 11.95, 13698.0, 40.53, 222504.0, 307.0, 4965.0, 68.58, 55864.0, 122.81, 7916.0, 90.67, 15711.0, 19.83, 93717.0, 9782.08, 9485.0, 5.85, 219656.0, 39.22, 147078.0, 62.78, 46531.0, -13.83, 196496.0, 0.49, 230403.0, 95.41, 3956.0, 357.37, 187464.0, 6.0, 10688.0, 118.0, 8807.0, 67.56, 145713.0, 1654.32, 31896.0, 1321.31, 12196.0, 0.26, 158795.0, 55.4, 136372.0, 7.7, 198051.0, 18.95, 68368.0, 2623.96, 3632.0, 0.72, 221920.0, 149323.0, 480.0, 529.0, 108.0, 35.17, 140643.0, 92.44, 6789.0, -296.01, 219603.0, 272.06, 17724.0, 92.89, 183784.0, 106978.69, 30055.0, 84506.66, 16327.0, 131964.0, 91345.0, 9494.37, 13054.0, 3496919000000000.0, 3876.0, 2.38, 178002.0, -20.0, 232782.0, 5216800000000.0, 38327.0, 255.31016993472, 82192.0, 31320000000.0, 364.0, 0.0, 195377.0, 0.0, 200784.0, 0.0, 195357.0, 39796.07, 91653.0, 1249.65, 655.0, 0.98, 212525.0, 146.98, 11345.0, 100.0, 86.6606055596467, 90.6703640476559, 92.4436565357675, 'Null']
['Null', 'haor_chall', 'Libertarian Police State', '617', 'The North Pacific', 'https://www.nationstates.net/images/flags/Default.png', 1.5, 35.6, 10.6, 0.0, 3.9, 23.7, 0.0, 20.8, 0.0, 2.8, 0.0, 1.0, 3.88, 13.74, 82.38, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.4, 0.2, 0.0, 22.7, 0.0, 0.0, 0.0, 0.0, 0.9, 23.3, 0.0, 0.6, 0.0, 0.2, 0.0, 0.0, 1.7, 0.0, 82.07, 21126.0, 100.68, 1400.0, 15.71, 204943.0, 22459000000.0, 5783.0, 2.09, 166334.0, 32.29, 102055.0, 10.69, 230149.0, -46.37, 233847.0, 17.93, 213301.0, 194.75, 41208.0, 22944.42, 356.0, 5453.88, 12155.0, 7379.35, 5620.0, 35577.28, 6384.0, 4364.57, 25346.0, 39.1, 151655.0, 41808.2, 3206.0, 9053.15, 5062.0, 9224.19, 3967.0, 12193.04, 2554.0, 27831.41, 775.0, 5368.36, 14012.0, 6084.3, 10760.0, 11765.43, 9449.0, 13578.5, 7937.0, 1288.41, 93281.0, 72131.97, 1457.0, 35.36, 8206.0, 397.07, 183616.0, 1527.18, 78013.0, 8063.53, 8654.0, 9193.65, 5721.0, 3.31, 222266.0, 47.87, 67796.0, 0.18, 231468.0, 119.0, 8101.0, 120.28, 5373.0, 0.69, 229040.0, 69.96, 1322.0, 0.42, 231294.0, 10.3, 233424.0, -753.0, 233596.0, 87.73, 14267.0, 133.08, 3655.0, 69.97, 132259.0, 27.22, 49464.0, 13805.75, 4997.0, 3.0, 232113.0, 63.11, 48328.0, 27.19, 120976.0, 47.02, 149723.0, 55.9, 23336.0, 84.43, 211095.0, 524.89, 155366.0, -5.0, 160044.0, 67.0, 68775.0, 71.49, 85349.0, -19.24, 233453.0, 12.54, 232962.0, 3.84, 29057.0, 103.6, 27433.0, 42.49, 1992.0, 88.97, 12143.0, 1.73, 233575.0, 454.76, 1484.0, 91215.0, 1049.0, 0.0, 15764.0, 27.78, 184892.0, 85.73, 16609.0, -588.31, 230774.0, 650.71, 3057.0, 149.97, 17096.0, 267034.6, 2966.0, 180532.51, 2326.0, 377156.0, 11780.0, 4092.85, 39145.0, 5997330000000000.0, 1526.0, 1.82, 220121.0, -18.97, 232602.0, 241898000000000.0, 7008.0, 33.53575631488, 167959.0, 22254000000.0, 22254000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 194401.19, 1736.0, 734.26, 1140.0, 28.69, 24257.0, 5.86, 225273.0, 100.0, 87.2290209379726, 69.9730471405935, 85.7340226928554, 'Null']
['Null', 'the_rhein_states', 'Civil Rights Lovefest', '4676', 'The North Pacific', 'https://www.nationstates.net/images/flags/uploads/the_rhein_states__62176.jpg', 15.6, 6.8, 18.1, 9.0, 9.4, 14.6, 2.3, 5.4, 4.9, 6.0, 0.0, 7.8, 0.01, 32.74, 0.0, 67.26, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.7, 0.0, 23.3, 0.0, 0.0, 0.0, 47.7, 0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 6.3, 0.0, 77.85, 31140.0, 102.56, 111.0, 82.14, 21451.0, 14516000000.0, 18390.0, 2.07, 167159.0, 15.0, 234068.0, 119.95, 1167.0, 12423.95, 2162.0, 24.23, 203252.0, 207.0, 31096.0, 3978.62, 41288.0, 10631.36, 588.0, 7287.24, 5913.0, 81243.79, 690.0, 1702.08, 82642.0, 6957.41, 14933.0, 18650.72, 13469.0, 21704.94, 317.0, 3871.39, 31277.0, 872.63, 128486.0, -23.28, 231207.0, -12.07, 224343.0, 8785.51, 3075.0, 13962.16, 7085.0, 46895.99, 424.0, 221.15, 131776.0, 29916.59, 9396.0, 86.66, 214.0, 10723.06, 1388.0, 13015.57, 1197.0, 7432.19, 10340.0, 20188.93, 382.0, 1.78, 233984.0, 48.23, 67202.0, 72.37, 1378.0, 705.46, 167.0, 358.8, 185.0, 0.35, 234251.0, 3.63, 234173.0, 40.7, 526.0, 57.82, 5783.0, 263.0, 6821.0, 175.51, 633.0, 169.08, 572.0, 97.53, 364.0, 21.89, 78806.0, 9410.41, 10174.0, 141.39, 7157.0, -45.44, 187096.0, 103.19, 335.0, -1888.5, 234133.0, 0.48, 230610.0, 95.48, 3768.0, 207.84, 208253.0, 53.0, 1862.0, 480.0, 374.0, 96.67, 341.0, 6729.64, 1770.0, 2458.39, 388.0, 0.1, 232988.0, 72.2, 88640.0, 0.99, 233903.0, 99.2, 420.0, 4831.63, 800.0, 0.27, 234033.0, 260885.0, 168.0, 662.0, 39.0, 33.11, 155557.0, 99.18, 327.0, -1219.17, 234134.0, 1266.79, 298.0, 539.86, 362.0, 424079.6, 635.0, 287877.14, 433.0, 596864.0, 4837.0, 24940.35, 933.0, 6155939000000000.0, 1432.0, 1.26, 233805.0, 3198.43, 3460.0, 310600000000.0, 122040.0, 1042.6733257442, 18819.0, 13103000000.0, 2564.0, 0.0, 195402.0, 49000000.0, 169582.0, 0.0, 195382.0, 0.0, 233498.0, 13315.12, 93.0, 77.95, 978.0, 421.32, 296.0, 100.0, 100.0, 97.5318886410947, 99.1772962136982, 'Null']
['Null', 'blue_wolf_ii', 'Anarchy', '78', 'The North Pacific', 'https://www.nationstates.net/images/flags/Default.png', 0.0, 80.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.76, 7.51, 91.73, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.8, 0.0, 3.5, 25.9, 0.0, 0.0, 0.0, 6.8, 0.3, 16.9, 4.8, 5.0, 0.0, 0.0, 0.9, 0.0, 1.8, 9.4, 73.08, 46766.0, 100.42, 2697.0, 74.1, 53859.0, 24142000000.0, 4834.0, 909.02, 154.0, 518.73, 389.0, 9.76, 231749.0, -51.38, 233973.0, 31.38, 187604.0, 1217.25, 147.0, 16437.1, 763.0, 7459.07, 2079.0, 6412.88, 10528.0, 29634.92, 8887.0, 8991.16, 1622.0, 1497.07, 104150.0, 44824.46, 2811.0, 8224.02, 6782.0, 22948.46, 547.0, 13372.92, 2019.0, 13591.79, 4105.0, 11267.4, 922.0, 8448.36, 3392.0, 17542.39, 4708.0, 20792.6, 3453.0, 19496.89, 1063.0, 67674.44, 1749.0, 28.27, 16354.0, -42.31, 233617.0, -30.66, 233985.0, -37.01, 234040.0, 4377.39, 27337.0, 7.61, 201835.0, 0.11, 234231.0, 0.15, 232449.0, 234.82, 2065.0, 97.54, 8705.0, 0.8, 225581.0, 72.05, 1039.0, 0.32, 233861.0, 7.94, 233613.0, -764.0, 233609.0, 2.28, 234205.0, 2.33, 234085.0, 23.41, 234053.0, 25.37, 58247.0, 17482.2, 3180.0, 2.16, 233690.0, 85.12, 18823.0, -0.4, 233618.0, 405.94, 604.0, 40.56, 31611.0, 90.51, 202749.0, 157.17, 212713.0, 77.0, 1153.0, 111.0, 10209.0, 83.51, 2889.0, -27.57, 233894.0, 7.93, 234039.0, 44.53, 232.0, 113.8, 17390.0, 78.5, 497.0, 34.76, 32433.0, 2.08, 233223.0, 881.76, 407.0, 14.0, 198135.0, 0.0, 15814.0, 29.63, 176154.0, 63.06, 56463.0, -430.47, 226767.0, 484.59, 6400.0, 35.67, 217245.0, 288747.03, 2354.0, 2945.31, 222350.0, 2677334.0, 273.0, -21.68, 233878.0, 6970931000000000.0, 1103.0, 111.31, 236.0, -27.75, 233627.0, 53116200000000.0, 14324.0, 26.82007311292, 176865.0, 23978000000.0, 23978000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 288747.03, 706.0, 0.0, 105500.0, 22.76, 36529.0, 5.27, 228007.0, 100.0, 65.7638827704344, 23.4107922747082, 63.0582250150475, 'Null']
