['Nation Name', 'Category', 'Number of Issues Answered', 'Region Name', 'Flag', 'Percentage Government Expenditure: Administration', 'Percentage Government Expenditure: Defence', 'Percentage Government Expenditure: Education', 'Percentage Government Expenditure: Environment', 'Percentage Government Expenditure: Healthcare', 'Percentage Government Expenditure: Commerce', 'Percentage Government Expenditure: International Aid', 'Percentage Government Expenditure: Law and Order', 'Percentage Government Expenditure: Public Transport', 'Percentage Government Expenditure: Social Equality', 'Percentage Government Expenditure: Spirituality', 'Percentage Government Expenditure: Welfare', 'Percentage Market Sector: Black Market', 'Percentage Market Sector: Government', 'Percentage Market Sector: Industry', 'Percentage Market Sector: Public', 'Percentage Death Type: Accident', 'Percentage Death Type: Acts of God', 'Percentage Death Type: Animal Attack', 'Percentage Death Type: Bungee Jumping', 'Percentage Death Type: Capital Punishment', 'Percentage Death Type: Cancer', 'Percentage Death Type: Disappearance', 'Percentage Death Type: Exposure', 'Percentage Death Type: Heart Disease', 'Percentage Death Type: Involuntary Euthanasia', 'Percentage Death Type: Lost in Wilderness', 'Percentage Death Type: Malnourishment', 'Percentage Death Type: Murder', 'Percentage Death Type: Nuclear Spill', 'Percentage Death Type: Old Age', 'Percentage Death Type: Ritual Sacrifice', 'Percentage Death Type: Scurvy', 'Percentage Death Type: Space Shuttle Mishap', 'Percentage Death Type: Suicide While in Police Custody', 'Percentage Death Type: Sunburn', 'Percentage Death Type: Vat Leakage', 'Percentage Death Type: War', 'Percentage Death Type: Work', 'civil rights', 'civil rights rank', 'economy', 'economy rank', 'political freedoms', 'political freedoms rank', 'population', 'population rank', 'wealth gaps', 'wealth gaps rank', 'death rate', 'death rate rank', 'compassion', 'compassion rank', 'eco-friendliness', 'eco-friendliness rank', 'social conservatism', 'social conservatism rank', 'nudity', 'nudity rank', 'industry: automobile manufacturing', 'industry: automobile manufacturing rank', 'industry: cheese exports', 'industry: cheese exports rank', 'industry: basket weaving', 'industry: basket weaving rank', 'industry: informtion technology', 'industry: informtion technology rank', 'industry: pizza delivery', 'industry: pizza delivery rank', 'industry: trout fishing', 'industry: trout fishing rank', 'industry: arms manufacturing', 'industry: arms manufacturing rank', 'sector: agriculture', 'sector: agriculture rank', 'industry: beverage sales', 'industry: beverage sales rank', 'industry: timber woodchipping', 'industry: timber woodchipping rank', 'industry: mining', 'industry: mining rank', 'industry: insurance', 'industry: insurance rank', 'industry: furniture restoration', 'industry: furniture restoration rank', 'industry: retail', 'industry: retail rank', 'industry: book publishing', 'industry: book publishing rank', 'industry: gambling', 'industry: gambling rank', 'sector: manufacturing', 'sector: manufacturing rank', 'government size', 'government size rank', 'welfare', 'welfare rank', 'public healthcare', 'public healthcare rank', 'law enforcement', 'law enforcement rank', 'business subsidization', 'business subsidization rank', 'religiousness', 'religiousness rank', 'income equality', 'income equality rank', 'niceness', 'niceness rank', 'rudeness', 'rudeness rank', 'intelligence', 'intelligence rank', 'ignorance', 'ignorance rank', 'political apathy', 'political apathy rank', 'health', 'health rank', 'cheerfulness', 'cheerfulness rank', 'weather', 'weather rank', 'compliance', 'compliance rank', 'safety', 'safety rank', 'lifespan', 'lifespan rank', 'ideological radicality', 'ideological radicality rank', 'defense forces', 'defense forces rank', 'pacifism', 'pacifism rank', 'economic freedom', 'economic freedom rank', 'taxation', 'taxation rank', 'freedom from taxation', 'freedom from taxation rank', 'corruption', 'corruption rank', 'integrity', 'integrity rank', 'authoritarianism', 'authoritarianism rank', 'youth rebelliousness', 'youth rebelliousness rank', 'culture', 'culture rank', 'employment', 'employment rank', 'public transport', 'public transport rank', 'tourism', 'tourism rank', 'weaponization', 'weaponization rank', 'recreational drug use', 'recreational drug use rank', 'obesity', 'obesity rank', 'secularism', 'secularism rank', 'environmental beauty', 'environmental beauty rank', 'charmlessness', 'charmlessness rank', 'influence', 'influence rank', 'world assembly endorsements', 'world assembly endorsements rank', 'averageness', 'averageness rank', 'human development index', 'human development index rank', 'primitiveness', 'primitiveness rank', 'scientific advancement', 'scientific advancement rank', 'inclusiveness', 'inclusiveness rank', 'average income', 'average income rank', 'average income of poor', 'average income of poor rank', 'average income of rich', 'average income of rich rank', 'public education', 'public education rank', 'economic output', 'economic output rank', 'crime', 'crime rank', 'foreign aid', 'foreign aid rank', 'black market', 'black market rank', 'residency', 'residency rank', 'survivors', 'survivors rank', 'zombies', 'zombies rank', 'dead', 'dead rank', 'percentage zombies', 'percentage zombies rank', 'average disposable income', 'average disposable income rank', 'deck value', 'deck value rank', 'patriotism', 'patriotism rank', 'food quality', 'food quality rank', 'hdi-economy', 'hdi-smart', 'hdi-health', 'hdi-precise', 'Null']
['Null', 'testlandia', 'New York Times Democracy', '119', 'Testregionia', 'https://www.nationstates.net/images/flags/uploads/testlandia__632510.png', 3.1, 14.0, 20.9, 23.4, 19.4, 4.2, 0.4, 7.1, 4.0, 1.0, 0.0, 2.5, 4.82, 92.91, 1.98, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 7.8, 0.0, 0.0, 0.0, 92.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.62, 57285.0, 80.0, 65004.0, 75.71, 46896.0, 38738000000.0, 457.0, 1.52, 200636.0, 21.73, 218634.0, 45.34, 49753.0, 12979.03, 1915.0, 35.07, 177138.0, 130.25, 108156.0, -21.35, 231212.0, -12.52, 231464.0, -12.85, 232303.0, 259.58, 169198.0, -10.3, 216058.0, -8.85, 220356.0, -4.56, 189129.0, -16.57, 231017.0, -12.49, 222856.0, -18.33, 230377.0, -19.9, 229870.0, -14.73, 228031.0, -15.36, 233113.0, -15.87, 227473.0, 1096.73, 130896.0, -17.4, 230242.0, 0.0, 218760.0, 21.89, 31233.0, 1390.61, 78932.0, 10777.23, 2401.0, 3940.06, 33193.0, 2317.68, 54742.0, 11.4, 169854.0, 65.73, 32834.0, 17.69, 33314.0, 48.54, 122334.0, 72.48, 15635.0, 1.0, 218545.0, 51.0, 82480.0, 7.9, 27654.0, 53.38, 15144.0, 362.0, 3493.0, 66.49, 69164.0, 116.0, 14366.0, 90.66, 15797.0, 16.9, 119938.0, 7764.24, 14408.0, 104.36, 39672.0, 39.0, 147616.0, 84.71, 12034.0, -71.15, 213727.0, 3.88, 111720.0, 93.1, 122698.0, 413.74, 177508.0, 4.0, 13223.0, 120.0, 8468.0, 45.82, 224942.0, 2201.8, 20229.0, 1339.37, 11333.0, 0.17, 209356.0, 13.0, 218354.0, 8.08, 193410.0, 19.5, 64455.0, 2676.59, 3475.0, 0.7, 222724.0, 6327.0, 8401.0, 0.0, 15666.0, 38.1, 114418.0, 74.1, 32083.0, -143.32, 201188.0, 110.82, 49140.0, 107.82, 63510.0, 56864.83, 95685.0, 45548.45, 41542.0, 69294.0, 173841.0, 11588.42, 8724.0, 2202830000000000.0, 7501.0, 2.52, 164736.0, 231.77, 88577.0, 111593500000000.0, 10183.0, 212.94282899428, 91131.0, 5000000.0, 55447.0, 13477000000.0, 856.0, 23926000000.0, 518.0, 99.96, 69200.0, 8700.32, 213667.0, 3285.31, 293.0, 0.72, 218977.0, 136.51, 13584.0, 52.6666666666667, 78.9827534923789, 90.6644916138846, 74.1046372576434, 'Null']
['Null', 'sedgetest', 'Anarchy', '2', 'Testregionia', 'https://www.nationstates.net/images/flags/Australia.png', 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.41, 0.83, 98.76, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4, 0.0, 10.0, 7.9, 0.0, 0.0, 0.0, 3.3, 0.0, 77.1, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 89.0, 16615.0, 75.33, 78449.0, 83.0, 20315.0, 10319000000.0, 31114.0, 126.53, 1598.0, 118.98, 8452.0, 43.68, 71854.0, -5.48, 214379.0, 11.0, 217719.0, 200.25, 36318.0, 5118.42, 22409.0, 818.95, 126754.0, 2047.37, 99605.0, 0.0, 174203.0, 0.0, 149402.0, 3265.55, 61930.0, 358.29, 162302.0, 5077.48, 28985.0, 3071.05, 44273.0, 0.0, 153852.0, 3582.9, 69950.0, 6653.95, 5009.0, 2559.21, 79145.0, 5118.42, 35445.0, 1535.53, 120044.0, 6551.58, 22489.0, 7524.08, 101510.0, 1.73, 233842.0, -5.48, 211915.0, -5.48, 230646.0, -10.0, 231103.0, 383.88, 146733.0, 74.94, 141454.0, 0.79, 231158.0, 13.62, 81641.0, 97.69, 26323.0, 34.42, 75394.0, 2.38, 158713.0, 50.0, 99329.0, 1.0, 113603.0, 50.0, 95637.0, 100.0, 113719.0, 34.82, 228575.0, 23.03, 193145.0, 56.93, 225979.0, 41.08, 18637.0, -3.16, 221444.0, 62.59, 120361.0, 100.0, 5.0, 4.62, 230031.0, 126.88, 6735.0, 0.71, 210890.0, 94.13, 21028.0, 21.27, 220452.0, 0.0, 28856.0, 64.0, 105219.0, 76.37, 25071.0, -5.48, 228786.0, 96.08, 214713.0, 0.52, 67295.0, 97.8, 34335.0, 15.63, 20065.0, 17.42, 92446.0, 449.9, 172279.0, 115.68, 19724.0, 182.0, 108098.0, 0.0, 16929.0, 13.92, 215803.0, 50.56, 194834.0, 51.37, 44662.0, -17.25, 197569.0, 92.89, 183787.0, 46142.58, 139876.0, 2479.3, 229756.0, 313713.0, 18786.0, -5.48, 231559.0, 476145000000000.0, 42748.0, 22.12, 5866.0, -6.32, 187572.0, 1978400000000.0, 60153.0, 528.36922434348, 39322.0, 4000000.0, 158738.0, 3227000000.0, 25960.0, 5745000000.0, 25098.0, 99.88, 45847.0, 44020.02, 70336.0, 0.0, 105835.0, 2.21, 196349.0, 33.96, 40657.0, 48.0, 46.7596296507961, 56.9257085789355, 50.5617794099105, 'Null']
['Null', 'iron_fist_grizzlies', 'Psychotic Dictatorship', '971', 'Testregionia', 'https://www.nationstates.net/images/flags/Extremadura.png', 11.3, 21.2, 16.0, 11.7, 4.8, 9.2, 4.0, 6.2, 4.8, 8.3, 0.1, 2.5, 52.82, 25.27, 0.0, 21.91, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 56.5, 0.0, 2.2, 25.2, 4.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 2.2, 8.9, 32.86, 182826.0, 100.01, 13398.0, 18.29, 200539.0, 15525000000.0, 15982.0, 2.56, 146494.0, 80.86, 30522.0, 12.44, 225947.0, 14608.67, 1330.0, 68.36, 51582.0, 938.0, 6944.0, -14.7, 227298.0, -14.03, 232469.0, -5.02, 191531.0, 60750.0, 1771.0, -7.96, 200954.0, 1499.46, 104080.0, 44432.4, 2857.0, -12.12, 226791.0, -12.0, 221321.0, -10.77, 221389.0, -22.72, 231039.0, -9.76, 215752.0, -7.48, 210368.0, -18.44, 229712.0, 5310.39, 41314.0, -3.07, 171776.0, 44432.4, 4288.0, 43.29, 4114.0, 3100.9, 22704.0, 5995.07, 12570.0, 7786.69, 9319.0, 11507.77, 3014.0, 2.33, 231045.0, 39.06, 87689.0, 0.28, 228267.0, 39.51, 155024.0, 109.77, 6720.0, 0.74, 227522.0, 53.9, 26021.0, 0.7, 211754.0, 21.37, 231973.0, 126.0, 33497.0, 94.12, 10296.0, 7.04, 224142.0, 61.97, 203912.0, 28.63, 43922.0, 26529.89, 1304.0, 3.71, 230182.0, -83.78, 218076.0, 96.48, 3627.0, -461.57, 230839.0, 174.24, 5116.0, 26.63, 229326.0, 3264.44, 13822.0, -16.0, 219951.0, 87.0, 18832.0, 36.48, 231576.0, 5995.07, 2447.0, 1291.04, 13825.0, 5.68, 13271.0, 37.4, 174227.0, 5.93, 223580.0, 98.8, 3359.0, 2389.54, 4452.0, 0.76, 220333.0, 86.0, 145939.0, 0.0, 18782.0, 26.37, 190502.0, 84.62, 17829.0, -461.84, 227805.0, 459.7, 7191.0, 176.27, 11436.0, 241127.34, 3932.0, 146089.31, 4405.0, 373990.0, 12004.0, 20052.46, 1896.0, 3743502000000000.0, 3455.0, 1.73, 224123.0, 5030.34, 936.0, 4190332700000000.0, 719.0, 43.730353957, 160184.0, 15267000000.0, 15267000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8439.46, 214317.0, 5.04, 36939.0, 43.56, 8305.0, 117.24, 18777.0, 100.0, 91.8748134324202, 61.9732457140953, 84.6160197155052, 'Null']
['Null', 'somersmead', 'Father Knows Best State', '1012', 'Testregionia', 'https://www.nationstates.net/images/flags/uploads/somersmead__900549.png', 18.5, 14.4, 3.8, 7.9, 6.8, 11.2, 3.1, 24.3, 3.0, 3.9, 1.6, 1.6, 50.45, 38.72, 8.97, 1.87, 0.3, 0.0, 0.0, 0.5, 0.0, 0.0, 45.8, 0.0, 9.9, 0.0, 1.2, 0.0, 0.0, 0.0, 41.4, 0.0, 0.4, 0.0, 0.2, 0.0, 0.4, 0.0, 0.0, 40.21, 163428.0, 99.91, 14607.0, 13.29, 210067.0, 37243000000.0, 805.0, 6.38, 60375.0, 32.04, 106397.0, 13.45, 223028.0, 7748.93, 6519.0, 62.85, 70910.0, 71.5, 183996.0, -13.86, 226385.0, 4146.31, 33996.0, 8455.23, 2998.0, -22.51, 233913.0, -16.62, 229507.0, 1463.4, 105117.0, 2510.15, 114243.0, -21.25, 232762.0, -9.95, 212498.0, -5.66, 187240.0, -17.66, 228701.0, -15.01, 228302.0, 7520.27, 4711.0, -12.74, 222676.0, 3144.29, 82092.0, -11.36, 221189.0, 10965.37, 60759.0, 27.68, 17319.0, 1524.38, 70232.0, 6605.65, 10254.0, 23754.92, 385.0, 10924.72, 3544.0, 2.57, 227709.0, 15.68, 174023.0, 0.34, 226190.0, 47.02, 127937.0, 0.58, 232481.0, 49.59, 1901.0, 77.02, 637.0, 0.42, 231344.0, 25.08, 231124.0, 122.0, 37390.0, 84.04, 17319.0, 15.7, 212177.0, 70.26, 127768.0, 18.2, 107701.0, 14100.51, 4811.0, 14.68, 200907.0, 47.44, 116969.0, 84.4, 12210.0, -107.37, 218159.0, 181.36, 4800.0, 24.71, 229641.0, 1360.81, 39334.0, -26.0, 227795.0, 88.0, 18260.0, 40.09, 229918.0, 2921.73, 12120.0, 1176.89, 22331.0, 0.21, 189111.0, 27.6, 195320.0, 8.74, 182973.0, 97.41, 6632.0, 1568.85, 10485.0, 0.97, 211776.0, 1679.0, 22731.0, 0.0, 21815.0, 36.8, 126649.0, 69.05, 41073.0, 323.04, 449.0, -283.4, 233908.0, 9.34, 228548.0, 124545.89, 21858.0, 45577.32, 41513.0, 290655.0, 24205.0, 3683.92, 43381.0, 4638462000000000.0, 2423.0, 1.89, 216821.0, 3048.76, 3891.0, 4722042700000000.0, 605.0, 840.6002606266, 22962.0, 5000000.0, 72407.0, 12996000000.0, 1037.0, 22884000000.0, 668.0, 99.96, 69779.0, 19429.16, 185273.0, 1738.08, 497.0, 0.77, 217446.0, 5.92, 224945.0, 100.0, 36.9041991462912, 70.2550036839985, 69.0530676100966, 'Null']
['Null', 'the_puppeteer', 'Father Knows Best State', '705', 'Testregionia', 'https://www.nationstates.net/images/flags/uploads/the_puppeteer__72337.gif', 13.8, 21.0, 14.4, 2.0, 6.3, 16.9, 0.0, 9.3, 2.0, 6.3, 2.5, 5.4, 22.89, 24.13, 52.99, 0.0, 0.3, 1.5, 0.0, 0.0, 6.1, 15.9, 3.5, 0.0, 20.0, 0.0, 0.0, 0.0, 0.0, 0.0, 51.9, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 50.05, 138171.0, 98.4, 19921.0, 16.43, 203312.0, 18117000000.0, 10522.0, 3.04, 131745.0, 45.84, 36671.0, 13.6, 222554.0, 748.23, 78225.0, 55.46, 96205.0, 161.25, 75039.0, 4655.67, 29410.0, 5320.76, 13812.0, 1629.48, 111534.0, 11971.71, 27057.0, 5447.13, 12339.0, 532.08, 134866.0, 5187.74, 66322.0, -7.91, 207737.0, 7681.85, 5396.0, 7648.59, 8555.0, 13301.9, 4285.0, -3.74, 162833.0, 2327.83, 85448.0, -5.1, 173497.0, 5919.35, 33472.0, 8398.53, 10888.0, 11472.89, 56232.0, 21.24, 33646.0, 1995.29, 46758.0, 2327.83, 48601.0, 3408.61, 40994.0, 6235.27, 14543.0, 2344.28, 9973.0, 32.94, 102006.0, 0.48, 221279.0, 67.94, 54212.0, 26.02, 131485.0, 15.59, 102907.0, 53.51, 29909.0, 0.47, 229013.0, 45.7, 210834.0, 3.0, 225149.0, 60.45, 122562.0, 22.62, 193569.0, 64.57, 197741.0, 15.03, 137296.0, 7731.73, 14519.0, 5.89, 219352.0, 46.0, 122288.0, 63.66, 45528.0, -28.41, 203380.0, 80.18, 15360.0, 68.15, 219079.0, 1032.72, 51297.0, 3.0, 15152.0, 50.0, 226739.0, 47.02, 223122.0, 748.23, 121199.0, 20.58, 229000.0, 2.69, 33716.0, 80.0, 71704.0, 21.92, 5632.0, 8.24, 224456.0, 6.31, 226646.0, 202.17, 5439.0, 1307.0, 28156.0, 0.0, 22146.0, 39.97, 97060.0, 75.66, 29560.0, -73.28, 152685.0, 78.17, 90770.0, 70.4, 204880.0, 119845.18, 23703.0, 66183.16, 24753.0, 200943.0, 54728.0, 5320.76, 29636.0, 2171235000000000.0, 7628.0, 3.69, 111744.0, -8.37, 213610.0, 644417100000000.0, 4142.0, 1163.74059548332, 17028.0, 3000000.0, 193253.0, 6031000000.0, 8226.0, 10754000000.0, 8020.0, 99.95, 35182.0, 43503.8, 72626.0, 10.58, 22195.0, 43.96, 8074.0, 5.55, 226835.0, 100.0, 62.4096736459909, 64.5671678955816, 75.6589471805242, 'Null']
['Null', 'mashed_potato_mountain', 'Inoffensive Centrist Democracy', '0', 'Testregionia', 'https://www.nationstates.net/images/flags/Default.png', 0.0, 3.7, 35.2, 0.0, 9.3, 1.9, 0.0, 0.0, 0.0, 0.0, 5.6, 44.4, 0.44, 32.39, 67.18, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 3.7, 0.0, 0.0, 0.0, 2.8, 0.0, 93.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 70.5, 57715.0, 72.0, 88423.0, 63.56, 102553.0, 13798000000.0, 19848.0, 6.16, 61461.0, 29.94, 148855.0, 41.43, 137990.0, -3.16, 188516.0, 35.25, 176660.0, 146.25, 90654.0, 1182.76, 104435.0, 1849.55, 94224.0, -1.67, 170710.0, 3725.7, 91001.0, 931.43, 108870.0, -2.53, 167833.0, 1330.61, 138892.0, -2.24, 159334.0, 960.99, 98136.0, -2.0, 163194.0, -2.0, 166877.0, -2.28, 153873.0, -2.0, 167043.0, 2956.91, 72502.0, 1998.87, 108427.0, 3264.43, 59595.0, 2513.37, 181826.0, 7.35, 205427.0, 4435.36, 12098.0, 924.03, 145376.0, -7.07, 228482.0, 184.81, 193531.0, 584.78, 61053.0, 16.23, 171878.0, 15.9, 49751.0, 59.55, 71918.0, 33.36, 81938.0, 2.57, 152182.0, 50.0, 100038.0, 3.63, 70798.0, 53.84, 12980.0, 102.0, 97883.0, 54.17, 193202.0, 34.49, 180217.0, 73.01, 85506.0, 10.81, 175988.0, 369.61, 212634.0, 57.11, 133051.0, 63.0, 48447.0, 26.44, 123432.0, 85.73, 73890.0, 2.22, 145870.0, 93.37, 88110.0, 375.05, 184464.0, 0.0, 30574.0, 67.0, 68891.0, 69.99, 100659.0, -3.16, 223876.0, 442.97, 159229.0, 0.51, 68118.0, 113.0, 18123.0, 10.7, 90143.0, 15.43, 173158.0, 491.42, 148111.0, 2.63, 74893.0, 14.0, 198426.0, 0.0, 22688.0, 44.19, 58365.0, 59.58, 70914.0, -66.41, 143033.0, 65.35, 117829.0, 97.83, 157088.0, 30678.8, 208129.0, 11447.31, 201848.0, 70530.0, 171665.0, 3511.33, 45411.0, 423306000000000.0, 47447.0, 13.49, 41189.0, -3.16, 157056.0, 1863400000000.0, 61817.0, 39.485217785, 163150.0, 13559000000.0, 13559000000.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 22579.6, 175827.0, 7.93, 26569.0, 4.29, 174070.0, 20.85, 86265.0, 44.6666666666667, 61.0679718105893, 73.0094954028455, 59.5813779600338, 'Null']
